ProductID,ProductNumber,ProductName,ProductSubCategoryName,ProductCategoryName,ProductionDate,FailureDate,WarrantyDate,FailureCode,FailureDescription,CustAccount,StoreName,TerritoryID,CountryRegionCode,TerritoryName
967,BK-T79U-50,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2015-10-28,2016-02-25,2017-10-28,B-300,Brake,319,Cycles Sales and Repair,7,FR,France
967,BK-T79U-50,"Touring-1000 Blue, 50",Touring Bikes,Bikes,2015-10-31,2017-06-25,2017-10-31,B-200,Fork,319,Cycles Sales and Repair,7,FR,France
976,BK-R79Y-48,"Road-350-W Yellow, 48",Road Bikes,Bikes,2013-10-19,2015-02-10,2015-10-19,B-200,Fork,319,Cycles Sales and Repair,7,FR,France
801,BK-R64Y-48,"Road-550-W Yellow, 48",Road Bikes,Bikes,2016-05-07,2017-07-13,2018-05-07,B-300,Brake,319,Cycles Sales and Repair,7,FR,France
794,BK-R89B-48,"Road-250 Black, 48",Road Bikes,Bikes,2015-12-01,2016-02-13,2017-12-01,B-200,Fork,319,Cycles Sales and Repair,7,FR,France
973,BK-R79Y-40,"Road-350-W Yellow, 40",Road Bikes,Bikes,2012-11-11,2013-10-12,2014-11-11,B-300,Brake,319,Cycles Sales and Repair,7,FR,France
987,BK-M18S-48,"Mountain-500 Silver, 48",Mountain Bikes,Bikes,2013-08-27,2014-01-06,2015-08-27,B-300,Brake,319,Cycles Sales and Repair,7,FR,France
798,BK-R64Y-40,"Road-550-W Yellow, 40",Road Bikes,Bikes,2016-07-17,2016-11-09,2018-07-17,B-300,Brake,319,Cycles Sales and Repair,7,FR,France
798,BK-R64Y-40,"Road-550-W Yellow, 40",Road Bikes,Bikes,2016-07-12,2017-12-29,2018-07-12,B-200,Fork,319,Cycles Sales and Repair,7,FR,France
790,BK-R89R-48,"Road-250 Red, 48",Road Bikes,Bikes,2014-03-24,2014-12-12,2016-03-24,B-200,Fork,319,Cycles Sales and Repair,7,FR,France
953,BK-T44U-60,"Touring-2000 Blue, 60",Touring Bikes,Bikes,2016-09-21,2016-10-30,2018-09-21,B-300,Brake,319,Cycles Sales and Repair,7,FR,France
